alert_type,severity,detected_at,details
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289378,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66961.84 | Qty 154.08399
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289404,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66961.85 | Qty 154.11795
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289429,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66961.84 | Qty 154.12025
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289456,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66961.85 | Qty 154.13457
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289482,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66960.32 | Qty 154.29862
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289508,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.6 | Qty 154.29098
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289534,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.6 | Qty 154.29581
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289559,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.6 | Qty 154.41802
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289587,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66954.04 | Qty 154.58739
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289613,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.87 | Qty 154.58671
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289638,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.86 | Qty 154.5693
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289664,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.87 | Qty 145.28049
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289690,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 144.15168
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289716,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 144.15168
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289743,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.87 | Qty 144.11858
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289770,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.86 | Qty 144.09775
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289797,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.86 | Qty 144.3606
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289824,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.87 | Qty 144.35691
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289850,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.87 | Qty 144.41769
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289882,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.87 | Qty 144.45609
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289918,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.86 | Qty 144.31334
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289945,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.87 | Qty 144.31642
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289972,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.67 | Qty 143.10115
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289998,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66941.72 | Qty 143.34883
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290026,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66940.52 | Qty 143.34891
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290052,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66943.67 | Qty 143.44856
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290079,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66949.05 | Qty 143.47836
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290104,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66953.19 | Qty 143.58006
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290130,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66957.57 | Qty 143.56447
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290156,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66959.28 | Qty 143.60323
